kmeans_cluster,gmm_cluster,dbscan_cluster,true_label,attack_type
0,0,0,Normal,normal
1,4,5,Normal,normal
2,2,1,DoS,neptune
0,4,2,Normal,normal
0,0,2,Normal,normal
2,1,3,DoS,neptune
2,2,1,DoS,neptune
2,2,1,DoS,neptune
2,2,1,DoS,neptune
2,2,1,DoS,neptune
2,1,3,DoS,neptune
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,0,2,R2L,warezclient
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,4,2,Normal,normal
3,0,4,Probe,ipsweep
0,0,2,Normal,normal
0,0,2,Normal,normal
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,0,2,Normal,normal
1,4,5,Normal,normal
2,2,1,DoS,neptune
0,4,6,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
3,0,7,Probe,ipsweep
2,2,1,DoS,neptune
0,0,2,Normal,normal
1,4,8,Probe,portsweep
4,0,9,Normal,normal
0,0,10,Normal,normal
4,0,9,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,2,1,DoS,neptune
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,0,11,Normal,normal
1,4,5,Normal,normal
0,0,2,Normal,normal
2,2,1,DoS,neptune
1,3,12,DoS,teardrop
0,0,2,Normal,normal
0,0,2,R2L,warezclient
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,1,3,DoS,neptune
1,3,12,DoS,teardrop
0,0,2,Normal,normal
4,0,9,Normal,normal
4,0,9,Normal,normal
3,0,13,Probe,nmap
2,2,1,DoS,neptune
2,2,1,DoS,neptune
4,0,9,Normal,normal
0,0,2,Normal,normal
2,1,3,DoS,neptune
1,4,8,Probe,satan
0,0,2,Normal,normal
2,1,3,DoS,neptune
0,0,6,Normal,normal
1,1,14,Probe,portsweep
2,2,1,DoS,neptune
2,1,3,DoS,neptune
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,2,1,DoS,neptune
1,4,32,Normal,normal
0,0,9,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,0,2,Normal,normal
2,1,3,DoS,neptune
0,0,2,Normal,normal
2,1,3,DoS,neptune
2,2,1,DoS,neptune
3,0,7,Probe,ipsweep
0,0,2,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,2,1,DoS,neptune
2,1,3,DoS,neptune
1,4,183,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
4,0,9,Normal,normal
2,1,3,DoS,neptune
2,2,1,DoS,neptune
0,0,11,Normal,normal
0,0,10,Normal,normal
0,0,2,Normal,normal
1,4,5,Normal,normal
2,2,1,DoS,neptune
0,0,15,Normal,normal
0,0,2,Normal,normal
3,1,16,Normal,normal
0,0,2,Normal,normal
1,3,17,DoS,teardrop
0,0,2,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
0,1,18,Normal,normal
0,0,2,Normal,normal
0,4,19,Normal,normal
0,1,18,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
1,4,20,Probe,portsweep
2,1,3,DoS,neptune
0,4,21,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
2,1,3,DoS,neptune
2,1,3,DoS,neptune
2,2,1,DoS,neptune
0,4,2,Normal,normal
2,2,1,DoS,neptune
0,0,0,Normal,normal
4,0,9,Normal,normal
0,4,22,Normal,normal
4,0,9,Normal,normal
0,0,23,Normal,normal
2,2,1,DoS,neptune
2,1,3,DoS,neptune
0,0,2,Normal,normal
0,0,2,Normal,normal
2,2,1,DoS,neptune
2,2,1,DoS,neptune
1,4,5,Normal,normal
0,0,2,Normal,normal
4,0,24,DoS,smurf
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,1,3,DoS,neptune
2,1,3,DoS,neptune
0,0,2,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
1,4,25,Probe,nmap
0,0,2,Normal,normal
0,0,2,R2L,warezclient
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,2,1,DoS,neptune
2,2,1,DoS,neptune
2,2,1,DoS,neptune
4,0,9,Normal,normal
0,4,2,Normal,normal
2,2,1,DoS,neptune
3,0,7,Probe,ipsweep
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,4,26,Normal,normal
4,0,9,Normal,normal
0,0,2,Normal,normal
2,2,1,DoS,neptune
1,4,27,Probe,portsweep
0,0,0,Normal,normal
0,0,2,Normal,normal
0,4,-1,Normal,normal
0,0,2,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
4,0,24,DoS,smurf
2,1,3,DoS,neptune
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,1,28,Normal,normal
1,4,8,Probe,satan
1,4,5,Probe,satan
2,2,1,DoS,neptune
0,0,24,Normal,normal
0,0,11,Normal,normal
0,0,0,Normal,normal
0,0,6,Normal,normal
1,3,12,DoS,teardrop
2,2,1,DoS,neptune
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,0,11,Normal,normal
0,0,2,Normal,normal
0,4,-1,R2L,warezclient
0,0,2,Normal,normal
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,0,292,Normal,normal
0,0,2,Normal,normal
0,0,2,Normal,normal
1,4,29,Probe,portsweep
0,0,2,Normal,normal
0,0,2,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,0,6,Normal,normal
0,0,6,Normal,normal
0,4,30,Normal,normal
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,4,2,Normal,normal
2,2,1,DoS,neptune
1,4,8,Probe,satan
3,0,31,DoS,pod
2,2,1,DoS,neptune
0,0,2,Normal,normal
2,2,1,DoS,neptune
2,2,1,DoS,neptune
0,0,2,Normal,normal
0,0,2,Normal,normal
